PlayerId,Event,Date
b91eedaf-ba56-4b80-9c23-cd5d48595579,Install,5/3/2020
b91eedaf-ba56-4b80-9c23-cd5d48595579,Session Start,5/3/2020
b91eedaf-ba56-4b80-9c23-cd5d48595579,Session Start,5/4/2020
b91eedaf-ba56-4b80-9c23-cd5d48595579,Session Start,5/5/2020
b91eedaf-ba56-4b80-9c23-cd5d48595579,Session Start,5/6/2020
b91eedaf-ba56-4b80-9c23-cd5d48595579,Session Start,5/9/2020
b91eedaf-ba56-4b80-9c23-cd5d48595579,Session Start,5/11/2020
844cefb1-dcbc-4ceb-90e4-198c13781f49,Session Start,5/3/2020
844cefb1-dcbc-4ceb-90e4-198c13781f49,Session Start,5/4/2020
844cefb1-dcbc-4ceb-90e4-198c13781f49,Install,5/3/2020
79a14ac9-f118-49e8-9260-5205e1849bb3,Session Start,5/3/2020
79a14ac9-f118-49e8-9260-5205e1849bb3,Session Start,5/4/2020
79a14ac9-f118-49e8-9260-5205e1849bb3,Session Start,5/5/2020
79a14ac9-f118-49e8-9260-5205e1849bb3,Session Start,5/6/2020
79a14ac9-f118-49e8-9260-5205e1849bb3,Install,5/3/2020
f0bbe9ff-53a3-4d2b-a7fe-c9a43654f68b,Session Start,5/3/2020
f0bbe9ff-53a3-4d2b-a7fe-c9a43654f68b,Install,5/3/2020
158cb442-557c-4142-b0e5-9cde25116500,Install,5/3/2020
158cb442-557c-4142-b0e5-9cde25116500,Session Start,5/10/2020
158cb442-557c-4142-b0e5-9cde25116500,Session Start,5/12/2020
6cea6688-e073-47ef-b7d3-a16640c6c22d,Session Start,5/3/2020
6cea6688-e073-47ef-b7d3-a16640c6c22d,Session Start,5/4/2020
6cea6688-e073-47ef-b7d3-a16640c6c22d,Session Start,5/5/2020
6cea6688-e073-47ef-b7d3-a16640c6c22d,Session Start,5/7/2020
6cea6688-e073-47ef-b7d3-a16640c6c22d,Install,5/3/2020
6cea6688-e073-47ef-b7d3-a16640c6c22d,Session Start,5/3/2020
6cea6688-e073-47ef-b7d3-a16640c6c22d,Session Start,5/4/2020
6cea6688-e073-47ef-b7d3-a16640c6c22d,Session Start,5/5/2020
6cea6688-e073-47ef-b7d3-a16640c6c22d,Session Start,5/4/2020
3f1f01be-0acf-43ad-99ed-6597b71e5ba0,Session Start,5/3/2020
3f1f01be-0acf-43ad-99ed-6597b71e5ba0,Session Start,5/4/2020
3f1f01be-0acf-43ad-99ed-6597b71e5ba0,Install,5/3/2020
3f1f01be-0acf-43ad-99ed-6597b71e5ba0,Session Start,5/4/2020
5ab8a7db-03a1-452b-99c8-a7b3d159f4e7,Session Start,5/3/2020
5ab8a7db-03a1-452b-99c8-a7b3d159f4e7,Session Start,5/4/2020
5ab8a7db-03a1-452b-99c8-a7b3d159f4e7,Install,5/3/2020
f1ae9e16-349d-4db3-b1a0-f4e2bc9b8f8d,Session Start,5/2/2020
f1ae9e16-349d-4db3-b1a0-f4e2bc9b8f8d,Session Start,5/3/2020
f1ae9e16-349d-4db3-b1a0-f4e2bc9b8f8d,Install,5/2/2020
f1ae9e16-349d-4db3-b1a0-f4e2bc9b8f8d,Session Start,5/3/2020
f1ae9e16-349d-4db3-b1a0-f4e2bc9b8f8d,Session Start,5/2/2020
f1ae9e16-349d-4db3-b1a0-f4e2bc9b8f8d,Session Start,5/2/2020
f1ae9e16-349d-4db3-b1a0-f4e2bc9b8f8d,Session Start,5/3/2020
f1ae9e16-349d-4db3-b1a0-f4e2bc9b8f8d,Session Start,5/3/2020
f1ae9e16-349d-4db3-b1a0-f4e2bc9b8f8d,Session Start,5/3/2020
f0fec61f-4eba-441e-bfb9-574d449cac7b,Session Start,4/30/2020
f0fec61f-4eba-441e-bfb9-574d449cac7b,Session Start,5/4/2020
f0fec61f-4eba-441e-bfb9-574d449cac7b,Session Start,5/10/2020
f0fec61f-4eba-441e-bfb9-574d449cac7b,Session Start,5/3/2020
f0fec61f-4eba-441e-bfb9-574d449cac7b,Session Start,5/4/2020
f0fec61f-4eba-441e-bfb9-574d449cac7b,Session Start,5/5/2020
f0fec61f-4eba-441e-bfb9-574d449cac7b,Session Start,5/6/2020
f0fec61f-4eba-441e-bfb9-574d449cac7b,Session Start,5/11/2020
f0fec61f-4eba-441e-bfb9-574d449cac7b,Session Start,5/12/2020
f0fec61f-4eba-441e-bfb9-574d449cac7b,Install,5/3/2020
e5659cf4-4f00-498f-af99-f2a775953d84,Session Start,5/5/2020
e5659cf4-4f00-498f-af99-f2a775953d84,Session Start,5/6/2020
e5659cf4-4f00-498f-af99-f2a775953d84,Install,5/5/2020
2541a94a-d071-4f6f-8d8d-067b9ccac8a9,Session Start,5/5/2020
2541a94a-d071-4f6f-8d8d-067b9ccac8a9,Session Start,5/6/2020
2541a94a-d071-4f6f-8d8d-067b9ccac8a9,Session Start,5/8/2020
2541a94a-d071-4f6f-8d8d-067b9ccac8a9,Install,5/5/2020
730eaeeb-60a9-44a2-9a10-6d3bfe72d4b8,Session Start,5/2/2020
730eaeeb-60a9-44a2-9a10-6d3bfe72d4b8,Session Start,5/5/2020
730eaeeb-60a9-44a2-9a10-6d3bfe72d4b8,Session Start,5/2/2020
730eaeeb-60a9-44a2-9a10-6d3bfe72d4b8,Install,5/1/2020
